fincode,name
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217285,Reverse Repo
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
217641,Other Assets
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217639,Cash & Cash Equivalent
217639,Cash & Cash Equivalent
217640,Call Money
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
217639,Cash & Cash Equivalent
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217285,Reverse Repo
217287,Net Current Asset
217287,Net Current Asset
217286,CBLO
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217285,Reverse Repo
217287,Net Current Asset
217287,Net Current Asset
217641,Other Assets
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
217641,Other Assets
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
217639,Cash & Cash Equivalent
217287,Net Current Asset
217287,Net Current Asset
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
